match_id,date,team1,team2,winner,venue,player_of_match,runs_team1,runs_team2,wickets_team1,wickets_team2
49,2025-11-16,Australia,New Zealand,New Zealand,Hyderabad,Devon Conway,260,339,3,6
50,2025-12-23,Sri Lanka,England,England,Sydney,Jofra Archer,255,311,4,5
51,2025-11-12,Sri Lanka,New Zealand,Sri Lanka,Delhi,Kusal Mendis,325,247,8,10
52,2025-08-09,South Africa,England,South Africa,Bengaluru,Quinton de Kock,328,325,7,9
53,2025-09-19,Bangladesh,New Zealand,Bangladesh,Bengaluru,Mustafizur Rahman,301,213,3,10
54,2025-12-11,Australia,Sri Lanka,Australia,Bengaluru,Steve Smith,259,227,5,4
55,2025-11-09,India,Australia,Australia,Melbourne,Mitchell Starc,198,286,9,5
56,2025-12-02,Sri Lanka,Australia,Australia,Delhi,Mitchell Starc,181,197,7,10
57,2025-03-04,India,South Africa,India,Bengaluru,Jasprit Bumrah,296,204,9,10
58,2025-08-07,Bangladesh,South Africa,Bangladesh,London,Najmul Hossain,320,284,4,9
59,2025-11-23,South Africa,Sri Lanka,Sri Lanka,Bengaluru,Pathum Nissanka,250,303,9,5
60,2025-05-01,Bangladesh,India,India,Kolkata,Virat Kohli,249,255,7,10
61,2025-07-16,England,Australia,Australia,Bengaluru,Travis Head,219,224,9,8
62,2025-04-16,Bangladesh,Pakistan,Bangladesh,Chennai,Najmul Hossain,287,269,2,8
63,2025-07-19,India,England,England,Kolkata,Jofra Archer,287,307,10,5
64,2025-09-06,Pakistan,England,England,Sydney,Jofra Archer,187,269,7,8
65,2025-01-14,England,South Africa,South Africa,London,Quinton de Kock,280,321,2,3
66,2025-04-04,England,Sri Lanka,Sri Lanka,Melbourne,Maheesh Theekshana,192,236,7,7
67,2025-05-23,New Zealand,England,New Zealand,Sydney,Kane Williamson,287,234,3,9
68,2025-11-29,India,England,England,Bengaluru,Ben Stokes,197,336,7,2
69,2025-05-03,India,South Africa,South Africa,Delhi,Aiden Markram,212,291,9,5
70,2025-11-07,New Zealand,Australia,Australia,Cape Town,Travis Head,209,211,10,6
71,2025-02-08,Sri Lanka,Pakistan,Sri Lanka,Bengaluru,Pathum Nissanka,331,330,5,3
72,2025-01-22,Australia,Sri Lanka,Sri Lanka,Cape Town,Kusal Mendis,268,306,8,7
73,2025-09-08,New Zealand,India,India,Sydney,Shubman Gill,207,280,7,9
74,2025-11-30,England,New Zealand,New Zealand,London,Tom Latham,249,327,10,9
75,2025-05-18,Sri Lanka,Bangladesh,Sri Lanka,Cape Town,Maheesh Theekshana,262,232,3,6
76,2025-10-19,Pakistan,Sri Lanka,Sri Lanka,Melbourne,Kusal Mendis,336,341,8,7
77,2025-04-04,Bangladesh,Sri Lanka,Bangladesh,Hyderabad,Mustafizur Rahman,304,224,7,6
78,2025-10-12,South Africa,Bangladesh,Bangladesh,Kolkata,Najmul Hossain,182,302,7,3
79,2025-12-20,Bangladesh,South Africa,South Africa,Bengaluru,Temba Bavuma,301,335,9,9
80,2025-07-27,Australia,England,England,Bengaluru,Jos Buttler,242,248,7,9
81,2025-06-19,Sri Lanka,New Zealand,New Zealand,London,Devon Conway,270,286,6,6
82,2025-06-11,Pakistan,India,India,Bengaluru,Shubman Gill,210,307,7,5
83,2025-09-26,South Africa,New Zealand,South Africa,Cape Town,Aiden Markram,332,242,3,5
84,2025-06-04,Pakistan,England,England,Delhi,Joe Root,183,306,6,6
85,2025-11-23,South Africa,New Zealand,South Africa,Delhi,Quinton de Kock,305,196,2,9
86,2025-01-27,Bangladesh,England,England,Delhi,Jofra Archer,244,292,3,3
87,2025-11-19,Bangladesh,India,India,Cape Town,Virat Kohli,193,208,6,7
88,2025-11-13,Sri Lanka,South Africa,South Africa,Cape Town,Quinton de Kock,237,303,8,9
89,2025-08-08,South Africa,Sri Lanka,Sri Lanka,Cape Town,Wanindu Hasaranga,258,315,2,3
90,2025-03-22,Pakistan,England,Pakistan,Mumbai,Babar Azam,241,214,10,7
91,2025-08-29,Sri Lanka,Pakistan,Sri Lanka,Cape Town,Maheesh Theekshana,254,178,5,8
92,2025-05-16,Australia,New Zealand,Australia,Bengaluru,Steve Smith,340,320,5,8
93,2025-05-17,Pakistan,New Zealand,Pakistan,Delhi,Mohammad Rizwan,216,188,8,10
94,2025-12-19,Bangladesh,India,India,Melbourne,Shubman Gill,257,273,6,10
95,2025-01-21,Bangladesh,India,Bangladesh,Cape Town,Shakib Al Hasan,290,252,6,2
96,2025-10-28,Pakistan,New Zealand,New Zealand,Cape Town,Tom Latham,185,342,7,2
97,2025-10-27,Bangladesh,England,England,Delhi,Jofra Archer,291,332,9,3
98,2025-06-14,New Zealand,Pakistan,Pakistan,Hyderabad,Naseem Shah,206,211,9,8
99,2025-06-11,India,Pakistan,Pakistan,Mumbai,Babar Azam,244,252,3,8
100,2025-04-07,Bangladesh,Pakistan,Bangladesh,Chennai,Shakib Al Hasan,312,262,9,9
